Entity,Code,Year,Population
Cambodia,KHM,1987,6557971
Cambodia,KHM,1988,6812012
Cambodia,KHM,1989,7073472
Cambodia,KHM,1990,7374754
Cambodia,KHM,1991,7686857
Cambodia,KHM,1992,8113085
Cambodia,KHM,1993,8616383
Cambodia,KHM,1994,9239160
Cambodia,KHM,1995,10018500
Cambodia,KHM,1996,10801268
Cambodia,KHM,1997,11570986
Cambodia,KHM,1998,12058180
Cambodia,KHM,1999,12265734
Cambodia,KHM,2000,12462343
Cambodia,KHM,2001,12658486
Cambodia,KHM,2002,12855249
Cambodia,KHM,2003,13050977
Cambodia,KHM,2004,13244737
Cambodia,KHM,2005,13439203
Cambodia,KHM,2006,13639032
Cambodia,KHM,2007,13841773
Cambodia,KHM,2008,14053479
Cambodia,KHM,2009,14276819
Cambodia,KHM,2010,14500730
Cambodia,KHM,2011,14722587
Cambodia,KHM,2012,14945090
Cambodia,KHM,2013,15170210
Cambodia,KHM,2014,15396771
Cambodia,KHM,2015,15623253
Cambodia,KHM,2016,15852802
Cambodia,KHM,2017,16073374
Cambodia,KHM,2018,16274522
Cambodia,KHM,2019,16481305
Cambodia,KHM,2020,16725484
Cambodia,KHM,2021,16974309
Cambodia,KHM,2022,17201721
Cambodia,KHM,2023,17423884
